Accession	Description	Pfam.IDs	Entrez.Gene.ID	Gene.Symbol	Chromosome
BAA23486.1	polyubiquitin [Homo sapiens]	Pf00240, Pf11976, Pf13019, Pf13881, Pf14560	7316	UBC	12
NP_001310441.1	E3 ubiquitin-protein ligase AMFR isoform d [Homo sapiens]	Pf00097, Pf02845, Pf12678, Pf12861, Pf13639, Pf13920, Pf13923, Pf14634, Pf15227	267	AMFR	16
AAA82937.1	pyruvate carboxylase precursor [Homo sapiens]	Pf00289, Pf00364, Pf00682, Pf02222, Pf02436, Pf02785, Pf02786, Pf07478, Pf08443, Pf13533, Pf13535, Pf15632	5091	PC	11
BAG50907.1	unnamed protein product [Homo sapiens]	Pf01148	8760	CDS2	20
CAB66549.1	hypothetical protein [Homo sapiens]	Pf00149, Pf12850	51699	VPS29	12
BAF83757.1	unnamed protein product [Homo sapiens]	Pf00023, Pf12796, Pf13191, Pf13606, Pf13637, Pf13857	57182	ANKRD50	4
NP_001092693.1	intraflagellar transport protein 74 homolog isoform a [Homo sapiens]	Pf05622, Pf11262, Pf13514	80173	IFT74	9
AAC51851.1	syntaxin 7 [Homo sapiens]	Pf05739, Pf14523	8417	STX7	6
AAN86142.1	RAB2B [Homo sapiens]	Pf00025, Pf00071, Pf01926, Pf08477	84932	RAB2B	14
XP_024303524.1	transforming acidic coiled-coil-containing protein 2 isoform X1 [Homo sapiens]				
AAB19349.2	S3 ribosomal protein [Homo sapiens]	Pf00189, Pf07650	6188	RPS3	11
XP_011542237.1	GRIP1-associated protein 1 isoform X1 [Homo sapiens]		56850	GRIPAP1	X
EAW89915.1	hCG1749005 [Homo sapiens]	Pf00125	347376	H3F3AP5	X
AAH11550.1	RNA methyltransferase like 1 [Homo sapiens]	Pf00588, Pf08032	55178	RNMTL1; MRM3	17
BAD97286.1	ADP-ribosylation-like factor 6 interacting protein 5 variant, partial [Homo sapiens]	Pf02990, Pf03208	10550	ARL6IP5	3
XP_011525231.1	suprabasin isoform X1 [Homo sapiens]		374897	SBSN	19
3ECS_A	Chain A, Crystal Structure Of Human Eif2b Alpha				
NP_071413.1	Golgi phosphoprotein 3 [Homo sapiens]	Pf05719	64083	GOLPH3	5
NP_003124.1	signal recognition particle 9 kDa protein isoform 2 [Homo sapiens]	Pf05486	6726; 653226	SRP9; SRP9P1	1; 10
XP_016882575.1	epidermal growth factor receptor substrate 15-like 1 isoform X1 [Homo sapiens]	Pf00038, Pf00261, Pf00529, Pf00769, Pf01496, Pf01576, Pf02050, Pf02321, Pf02463, Pf02841, Pf02994, Pf03148, Pf03962, Pf03999, Pf04012, Pf04111, Pf04156, Pf04912, Pf04977, Pf05103, Pf05149, Pf05262, Pf05276, Pf05478, Pf05483, Pf05557, Pf05622, Pf05667, Pf05701, Pf05816, Pf06008, Pf06160, Pf06818, Pf07111, Pf07321, Pf07798, Pf07888, Pf07926, Pf08317, Pf08614, Pf09311, Pf09726, Pf09730, Pf09731, Pf09755, Pf09787, Pf09789, Pf10146, Pf10174, Pf10186, Pf10234, Pf10359, Pf10498, Pf11180, Pf11559, Pf11932, Pf12072, Pf12128, Pf12325, Pf12329, Pf12718, Pf12763, Pf12795, Pf13094, Pf13166, Pf13514, Pf13779, Pf13851, Pf13863, Pf13868, Pf13870, Pf13949, Pf14073, Pf14362, Pf14662, Pf14772, Pf14817, Pf14915, Pf14932, Pf14992, Pf15035, Pf15272, Pf15346, Pf15397, Pf15450, Pf15619	58513	EPS15L1	19
AAC02985.2	density regulated protein drp1, partial [Homo sapiens]	Pf01253	8562	DENR	12
AAL11723.1	A-kinase anchoring protein [Homo sapiens]	Pf00130, Pf00169, Pf00621	11214	AKAP13	15
P23634	Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens OX=9606 GN=ATP2B4 PE=1 SV=2	Pf00122, Pf00689, Pf00690, Pf00702, Pf08282, Pf12424, Pf12710, Pf13246	493	ATP2B4	1
AAC50296.1	band 7.2b stomatin [Homo sapiens]	Pf01145	2040	STOM	9
NP_078824.2	centrosomal protein of 97 kDa isoform 1 [Homo sapiens]	Pf12799, Pf13855, Pf14580	79598	CEP97	3
EAW86930.1	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis), isoform CRA_b [Homo sapiens]	Pf01398, Pf14464	10987	COPS5	8
AAG09682.1	dolichyl-phosphate beta-glucosyltransferase [Homo sapiens]	Pf00535, Pf10111, Pf13641	29880	ALG5	13
AAB48435.1	KHS1 [Homo sapiens]	Pf00069, Pf00780, Pf07714	11183	MAP4K5	14
XP_005248288.1	solute carrier family 12 member 7 isoform X1 [Homo sapiens]	Pf00324, Pf12474, Pf13520	10723	SLC12A7	5
XP_005269064.1	kinesin-like protein KIF21A isoform X1 [Homo sapiens]	Pf00038, Pf00225, Pf00400, Pf00769, Pf01576, Pf02050, Pf02463, Pf02841, Pf02996, Pf03938, Pf03962, Pf04111, Pf05010, Pf05483, Pf05557, Pf05622, Pf07926, Pf09731, Pf10174, Pf10211, Pf11600, Pf12037, Pf12128, Pf12718, Pf13166, Pf13514, Pf13863, Pf13868, Pf14943, Pf14988, Pf15558, Pf15619	55605	KIF21A	12
AAH68199.1	SLC25A5 protein, partial [Homo sapiens]	Pf00153	292	SLC25A5	X
XP_005261192.1	ATP-dependent 6-phosphofructokinase, liver type isoform X3 [Homo sapiens]	Pf00365	5211	PFKL	21
NP_848600.2	transmembrane protein 26 [Homo sapiens]	Pf09772	219623	TMEM26	10
NP_001007528.1	LMBR1 domain-containing protein 2 [Homo sapiens]	Pf04791	92255	LMBRD2	5
XP_005267319.1	protein transport protein Sec23A isoform X1 [Homo sapiens]	Pf00626, Pf04810, Pf04811, Pf04815, Pf08033	10484	SEC23A	14
BAF85507.1	unnamed protein product [Homo sapiens]	Pf03148	83659	TEKT1	17
AAA50465.1	enhancer protein [Homo sapiens]	Pf00578, Pf08534, Pf10417	7001	PRDX2	19
NP_955392.1	tumor protein D54 isoform a [Homo sapiens]	Pf04201	7165	TPD52L2	20
NP_057396.1	WW domain-binding protein 11 [Homo sapiens]	Pf09429	51729	WBP11	12
NP_002478.1	necdin [Homo sapiens]	Pf01454	4692	NDN	15
3OW8_A	Chain A, Crystal Structure of the WD repeat-containing protein 61				
BAD96330.1	hypothetical protein MGC4767 variant, partial [Homo sapiens]	Pf01170, Pf01209, Pf08241, Pf08242, Pf12847, Pf13489, Pf13649, Pf13659, Pf13847	84274	COQ5	12
2H06_A	Chain A, Crystal Structure Of Human Phosphoribosyl Pyrophosphate Synthetase 1				
NP_003311.2	tubby protein homolog isoform a [Homo sapiens]	Pf01167	7275	TUB	11
NP_003895.1	zinc finger protein ZPR1 isoform 1 [Homo sapiens]	Pf03367	8882	ZNF259; ZPR1	11
XP_011525455.1	GRAM domain-containing protein 1A isoform X4 [Homo sapiens]	Pf02893	57655	GRAMD1A	19
CAA93625.1	ALL-1 protein [Homo sapiens]	Pf00628, Pf00856, Pf02008, Pf05964, Pf05965, Pf13771, Pf13832, Pf15446	4297	KMT2A; MLL	11
XP_016878010.1	tight junction protein ZO-1 isoform X1 [Homo sapiens]	Pf00018, Pf00595, Pf00625, Pf00791, Pf07653, Pf13180	7082	TJP1	15
BAG57885.1	unnamed protein product [Homo sapiens]	Pf04571, Pf08235, Pf15017	23175	LPIN1	2
BAD92985.1	spectrin, beta, non-erythrocytic 1 isoform 1 variant, partial [Homo sapiens]	Pf00169, Pf00307, Pf00435, Pf11971, Pf12128, Pf15410	6711	SPTBN1	2
XP_011515149.1	transmembrane protein 65 isoform X1 [Homo sapiens]	Pf10507	157378	TMEM65	8
BAH12463.1	unnamed protein product [Homo sapiens]	Pf00047, Pf00069, Pf07679, Pf07714, Pf13895, Pf13927, Pf14575	5754	PTK7	6
ABB17070.1	skeletal muscle cells re-entry induced [Homo sapiens]	Pf14647, Pf14648	157769	FAM91A1	8
EAW85281.1	mahogunin, ring finger 1, isoform CRA_c [Homo sapiens]	Pf00097, Pf13639, Pf13920, Pf13923, Pf14634	23295	MGRN1	16
NP_001284636.1	calmodulin-regulated spectrin-associated protein 2 isoform 1 [Homo sapiens]	Pf00307, Pf08683, Pf11971	23271	CAMSAP2	1
AAA36408.1	NF-kappa-B transcription factor [Homo sapiens]	Pf00554	5970	RELA	11
AAA36044.1	40-kDa keratin protein, partial [Homo sapiens]	Pf00038	3880	KRT19	17
BAH11948.1	unnamed protein product [Homo sapiens]	Pf02271	7381	UQCRB	8
BAF85522.1	unnamed protein product [Homo sapiens]	Pf12799, Pf13855	8036	SHOC2	10
BAA92063.1	unnamed protein product [Homo sapiens]	Pf00005, Pf12848, Pf13304	55324	ABCF3	3
BAG36805.1	unnamed protein product [Homo sapiens]	Pf00023, Pf00887, Pf12796, Pf13606, Pf13637, Pf13857	84320	ACBD6	1
AAD32479.1	endoplasmic reticulum-Golgi intermediate compartment protein ERGIC-53, partial [Homo sapiens]	Pf03388	3998	LMAN1	18
BAG58335.1	unnamed protein product, partial [Homo sapiens]	Pf00069, Pf01636, Pf07714	5598	MAPK7	17
XP_011523928.1	band 4.1-like protein 3 isoform X1 [Homo sapiens]	Pf00373, Pf04382, Pf05902, Pf08736, Pf09379, Pf09380	23136	EPB41L3	18
BAD96855.1	SCIRP10-related protein variant, partial [Homo sapiens]	Pf00173	29937	NENF	1
XP_005258803.1	charged multivesicular body protein 2a isoform X1 [Homo sapiens]	Pf03357	27243	CHMP2A	19
NP_001339283.1	serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform 12 [Homo sapiens]	Pf04499	55291	PPP6R3	11
NP_001264890.1	stromal interaction molecule 1 isoform 1 precursor [Homo sapiens]	Pf00430, Pf00769, Pf04111, Pf06160, Pf07647, Pf09731, Pf10174	6786	STIM1	11
NP_006058.1	ER membrane protein complex subunit 8 isoform 1 [Homo sapiens]	Pf03665	10328	EMC8	16
CAD98028.1	hypothetical protein, partial [Homo sapiens]	Pf00254, Pf00515, Pf07719, Pf13181, Pf13414, Pf13424, Pf13432, Pf14559	23770	FKBP8	19
XP_011541130.1	von Willebrand factor A domain-containing protein 5A isoform X1 [Homo sapiens]	Pf00092, Pf08487, Pf13519, Pf13757, Pf13768	4013	VWA5A	11
BAF82705.1	unnamed protein product [Homo sapiens]	Pf12854, Pf13041, Pf13812	10128	LRPPRC	2
EAW78564.1	golgi phosphoprotein 4, isoform CRA_a [Homo sapiens]		27333	GOLIM4	3
AAH07539.1	FSCN1 protein, partial [Homo sapiens]	Pf06268	6624	FSCN1	7
NP_003553.2	mitochondrial 2-oxoglutarate/malate carrier protein isoform 1 [Homo sapiens]	Pf00153	8402	SLC25A11	17
CAI46082.1	hypothetical protein [Homo sapiens]	Pf10211	7802	DNALI1	1
XP_016872374.1	acyl-CoA-binding domain-containing protein 5 isoform X3 [Homo sapiens]	Pf00887	91452	ACBD5	10
EAW81819.1	MAP/microtubule affinity-regulating kinase 3, isoform CRA_h, partial [Homo sapiens]	Pf00069, Pf00627, Pf02149, Pf07714, Pf14531	4140	MARK3	14
NP_004746.2	ribosomal protein S6 kinase alpha-5 isoform a [Homo sapiens]	Pf00069, Pf00433, Pf01636, Pf06293, Pf07714, Pf14531	9252	RPS6KA5	14
NP_001307526.1	probable ATP-dependent RNA helicase DDX5 isoform b [Homo sapiens]	Pf00270, Pf00271, Pf08061	1655	DDX5	17
NP_006746.1	transaldolase [Homo sapiens]	Pf00923	6888	TALDO1	11
AAA56664.1	78 kDa gastrin-binding protein [Homo sapiens]	Pf00378, Pf00725, Pf02737	3030	HADHA	2
NP_060090.2	interleukin enhancer-binding factor 3 isoform d [Homo sapiens]	Pf00035, Pf07528, Pf14709	3609	ILF3	19
XP_024309466.1	60S ribosomal protein L29 isoform X1 [Homo sapiens]				
XP_011534895.1	apoptosis-stimulating of p53 protein 1 isoform X1 [Homo sapiens]	Pf00018, Pf00023, Pf02463, Pf03938, Pf07653, Pf09731, Pf10498, Pf12795, Pf12796, Pf13606, Pf13637, Pf13857, Pf13863, Pf14604	23368	PPP1R13B	14
ABI63371.1	proopiomelanocortin preproprotein [Homo sapiens]	Pf00976, Pf08035, Pf08384	5443	POMC	2
6H25_F	Chain F, Exosome complex component MTR3				
NP_055464.1	scaffold attachment factor B2 [Homo sapiens]	Pf00076, Pf02037, Pf13893, Pf14259	9667	SAFB2	19
EAW51849.1	zyxin, isoform CRA_b [Homo sapiens]	Pf00412	7791	ZYX	7
AAP97288.1	MSIN3A [Homo sapiens]	Pf02671, Pf08295	25942	SIN3A	15
NP_001139699.1	40S ribosomal protein S20 isoform 1 [Homo sapiens]	Pf00338	6224	RPS20	8
XP_016885053.1	sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating isoform X1 [Homo sapiens]	Pf00106, Pf01073, Pf01370, Pf02719, Pf04321, Pf05368, Pf07993, Pf13460	50814	NSDHL	X
BAG06726.1	KIF1A variant protein [Homo sapiens]	Pf00169, Pf00225, Pf00498, Pf12423, Pf12473	547	KIF1A	2
XP_011532410.1	cysteine-rich with EGF-like domain protein 1 isoform X1 [Homo sapiens]	Pf07645, Pf11938	78987	CRELD1	3
NP_001311062.1	xaa-Pro aminopeptidase 1 isoform 6 [Homo sapiens]	Pf00557, Pf01321	7511	XPNPEP1	10
BAD92968.1	Glucan, branching enzyme 1 variant, partial [Homo sapiens]	Pf00128, Pf02806, Pf02922	2632	GBE1	3
EAW70563.1	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa), isoform CRA_b [Homo sapiens]	Pf02735, Pf03730, Pf03731, Pf08785	7520	XRCC5	2
AAH20803.1	Developmentally regulated GTP binding protein 1 [Homo sapiens]	Pf00009, Pf01926, Pf02421, Pf02824	4733	DRG1	22
4IP3_B	Chain B, Complex Structure Of Ospi And Ubc13				
NP_001307156.1	60S ribosomal export protein NMD3 isoform 1 [Homo sapiens]	Pf04981, Pf12745	51068	NMD3	3
NP_612361.1	atherin [Homo sapiens]	Pf00536, Pf02198	90378	SAMD1	19
NP_078974.1	mitochondrial glutamate carrier 1 [Homo sapiens]	Pf00153	79751	SLC25A22	11
BAC86977.1	unnamed protein product [Homo sapiens]	Pf00085, Pf13098, Pf13848, Pf13899, Pf13905	10130	PDIA6	2
NP_057339.1	protein FAM8A1 [Homo sapiens]	Pf06271	51439	FAM8A1	6
EAW85571.1	zinc finger protein 598, isoform CRA_c [Homo sapiens]		90850	ZNF598	16
NP_612382.1	myeloid-associated differentiation marker [Homo sapiens]	Pf01284	91663	MYADM	19
6D0Y_A	Chain A, Nuclear cap-binding protein subunit 2				
XP_016865174.1	succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial isoform X1 [Homo sapiens]	Pf00890, Pf02910	6389	SDHA	5
EAW71873.1	hematopoietic signal peptide-containing, isoform CRA_c [Homo sapiens]		284361	EMC10	19
NP_004513.1	kinesin heavy chain isoform 5C [Homo sapiens]	Pf00225, Pf04156	3800	KIF5C	2
BAB11885.1	BSCv, partial [Homo sapiens]	Pf03088, Pf08450	57136	APMAP	20
NP_000253.1	alpha-N-acetylgalactosaminidase precursor [Homo sapiens]	Pf02065	4668	NAGA	22
NP_001015049.1	BAG family molecular chaperone regulator 5 isoform a [Homo sapiens]	Pf02179	9529	BAG5	14
NP_004623.1	28S ribosomal protein S29, mitochondrial isoform 1 [Homo sapiens]	Pf10236	7818	DAP3	1
NP_000301.1	palmitoyl-protein thioesterase 1 isoform 1 precursor [Homo sapiens]	Pf02089	5538	PPT1	1
XP_005255285.3	calcium-regulated heat-stable protein 1 isoform X1 [Homo sapiens]	Pf00313	23589	CARHSP1	16
NP_937895.1	gelsolin isoform b [Homo sapiens]	Pf00626	2934	GSN	9
AAB87693.1	importin-alpha homolog [Homo sapiens]	Pf00514, Pf01602, Pf01749, Pf13513, Pf13646	3839	KPNA3	13
AAB18673.1	platelet cGI-PDE [Homo sapiens]	Pf00233	5139	PDE3A	12
EAW65231.1	nischarin, isoform CRA_d [Homo sapiens]	Pf00787, Pf12799, Pf13855, Pf14580	11188	NISCH	3
AAA52709.1	intercellular adhesion molecule-1 precursor [Homo sapiens]	Pf03921, Pf07679, Pf13895	3383	ICAM1	19
BAD96233.1	adenylyl cyclase-associated protein variant, partial [Homo sapiens]	Pf01213, Pf07986, Pf08603	10487	CAP1	1
NP_001350043.1	annexin A6 isoform 3 [Homo sapiens]				
NP_079234.1	neurensin-2 isoform 1 [Homo sapiens]	Pf14927	80023	NRSN2	20
AAA92786.1	associated microfibrillar protein [Homo sapiens]	Pf06991	4236	MFAP1	15
EAW50181.1	3'-phosphoadenosine 5'-phosphosulfate synthase 2, isoform CRA_a [Homo sapiens]	Pf01583, Pf01747, Pf13207, Pf13238, Pf13671, Pf14306	9060	PAPSS2	10
NP_001748.1	carbonyl reductase [NADPH] 1 isoform 1 [Homo sapiens]	Pf00106, Pf01370, Pf08659, Pf13561	873; 54093	CBR1; SETD4	21
AAH10362.1	Vacuolar protein sorting 35 homolog (S. cerevisiae) [Homo sapiens]	Pf03635	55737	VPS35	16
NP_940877.2	protein FAM171A2 precursor [Homo sapiens]	Pf10577	284069	FAM171A2	17
EAW52998.1	lamin A/C, isoform CRA_c [Homo sapiens]	Pf00038, Pf00932, Pf02463, Pf05911, Pf12128	4000	LMNA	1
EAW88067.1	surfeit 1 [Homo sapiens]	Pf02104	6834	SURF1	9
XP_011539258.1	protein 4.1 isoform X1 [Homo sapiens]	Pf00373, Pf04382, Pf05902, Pf08736, Pf09379, Pf09380	2035	EPB41	1
EAW69227.1	SH3-domain GRB2-like 1, isoform CRA_a [Homo sapiens]	Pf00018, Pf03114, Pf07653, Pf10455, Pf13514, Pf14604	6455	SH3GL1	19
AAB09423.1	2,4-dienoyl-CoA reductase [Homo sapiens]	Pf00106, Pf08659, Pf13561	1666	DECR1	8
AAP13073.1	E3 ligase for inhibin receptor [Homo sapiens]	Pf00023, Pf00632, Pf00754, Pf06701, Pf07738, Pf12796, Pf13606, Pf13637, Pf13857	25831	HECTD1	14
BAD92481.1	retinoid X receptor, beta variant, partial [Homo sapiens]	Pf00104, Pf00105	6257	RXRB	6
NP_002428.1	protein Mpv17 [Homo sapiens]	Pf04117	4358	MPV17	2
NP_001952.1	elongation factor 2 [Homo sapiens]	Pf00009, Pf00679, Pf03144, Pf03764, Pf14492	1938	EEF2	19
CAG46452.1	MIF [Homo sapiens]	Pf01187	4282	MIF	22
AAH06413.1	Translocase of outer mitochondrial membrane 40 homolog (yeast) [Homo sapiens]	Pf01459	10452	TOMM40	19
XP_011531951.1	LIM and cysteine-rich domains protein 1 isoform X1 [Homo sapiens]	Pf00412, Pf06297	29995	LMCD1	3
AAP35882.1	proteasome (prosome, macropain) subunit, beta type, 7 [Homo sapiens]	Pf00227, Pf12465	5695	PSMB7	9
BAD97224.1	MORF-related gene X variant, partial [Homo sapiens]	Pf05712	9643	MORF4L2	X
AAH19832.1	B3GAT3 protein, partial [Homo sapiens]	Pf03360	26229	B3GAT3	11
XP_024302561.1	serrate RNA effector molecule homolog isoform X1 [Homo sapiens]				
BAD93159.1	DnaJ (Hsp40) homolog, subfamily B, member 4 variant, partial [Homo sapiens]	Pf00226, Pf01556	11080	DNAJB4	1
XP_024307860.1	poly(rC)-binding protein 3 isoform X4 [Homo sapiens]				
P23229.5	RecName: Full=Integrin alpha-6; AltName: Full=CD49 antigen-like family member F; AltName: Full=VLA-6; AltName: CD_antigen=CD49f; Contains: RecName: Full=Integrin alpha-6 heavy chain; Contains: RecName: Full=Integrin alpha-6 light chain; Contains: RecName: Full=Processed integrin alpha-6; Short=Alpha6p; Flags: Precursor	Pf01839, Pf08441, Pf13517	3655	ITGA6	2
AAG02116.1	steroid receptor RNA activator isoform 3 [Homo sapiens]	Pf07304	10011	SRA1	5
AAH56143.1	DIS3 mitotic control homolog (S. cerevisiae) [Homo sapiens]	Pf00773, Pf09742, Pf13638	22894	DIS3	13
XP_024307304.1	inositol-3-phosphate synthase 1 isoform X1 [Homo sapiens]				
NP_005316.1	histone H1.1 [Homo sapiens]	Pf00538	3024	HIST1H1A	6
NP_631900.1	protein crumbs homolog 3 isoform a precursor [Homo sapiens]		92359	CRB3	19
NP_872422.1	arpin isoform 1 [Homo sapiens]	Pf10574	348110	C15orf38; ARPIN	15
XP_024304295.1	nucleobindin-2 isoform X1 [Homo sapiens]				
NP_065105.2	solute carrier family 22 member 17 isoform a [Homo sapiens]	Pf00083, Pf07690	51310	SLC22A17	14
NP_003061.3	probable global transcription activator SNF2L2 isoform a [Homo sapiens]	Pf00176, Pf00270, Pf00271, Pf00439, Pf07529, Pf07533, Pf08880, Pf11496, Pf14619	6595	SMARCA2	9
EAW58394.1	stomatin (EPB72)-like 2, isoform CRA_a [Homo sapiens]	Pf01145	30968	STOML2	9
NP_001020471.2	ras-related protein Rab-12 [Homo sapiens]	Pf00025, Pf00071, Pf01926, Pf08477	201475	RAB12	18
NP_001073932.1	cytoplasmic dynein 2 heavy chain 1 isoform 2 [Homo sapiens]	Pf00769, Pf03028, Pf07728, Pf08385, Pf08393, Pf12774, Pf12775, Pf12777, Pf12780, Pf12781, Pf13401	79659	DYNC2H1	11
EAW68080.1	hydroxysteroid (17-beta) dehydrogenase 12, isoform CRA_a [Homo sapiens]	Pf00106, Pf13561	51144	HSD17B12	11
AAH30614.1	KTEL (Lys-Tyr-Glu-Leu) containing 1 [Homo sapiens]	Pf05686	56983	POGLUT1	3
XP_006720633.1	pyruvate kinase PKM isoform X1 [Homo sapiens]	Pf00224, Pf02887	5315	PKM	15
BAG35625.1	unnamed protein product [Homo sapiens]	Pf04114	8733	GPAA1	8
BAG51631.1	unnamed protein product [Homo sapiens]	Pf10255	51386	EIF3L	22
XP_011508705.1	arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 isoform X1 [Homo sapiens]	Pf00018, Pf00023, Pf00169, Pf01412, Pf07653, Pf12796, Pf13637, Pf13857, Pf14604	8853	ASAP2	2
Q9BVA1	Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1	Pf00091, Pf03953, Pf10644	347733	TUBB2B	6
BAF82444.1	unnamed protein product [Homo sapiens]	Pf04109	79065	ATG9A	2
NP_002824.1	tyrosine-protein phosphatase non-receptor type 9 [Homo sapiens]	Pf00102, Pf00650, Pf03765, Pf13716, Pf14566	5780	PTPN9	15
ADA59516.1	signal transducer and activator of transcription 1 [Homo sapiens]	Pf00017, Pf01017, Pf02864, Pf02865, Pf12162, Pf13204	6772	STAT1	2
NP_612448.1	FLYWCH family member 2 [Homo sapiens]	Pf15423	114984	FLYWCH2	16
BAG35354.1	unnamed protein product [Homo sapiens]	Pf00191	310	ANXA7	10
NP_000908.2	prolyl 4-hydroxylase subunit alpha-1 isoform 1 precursor [Homo sapiens]	Pf03171, Pf08336	5033	P4HA1	10
BAA92068.1	unnamed protein product [Homo sapiens]	Pf09728	55787	TXLNG	X
AAA60190.1	peripherin [Homo sapiens]	Pf00038, Pf04732	5630	PRPH	12
1XCR_A	Chain A, Crystal Structure Of Longer Splice Variant Of Ptd012 From Homo Sapiens Reveals A Novel Zinc-Containing Fold				
NP_009123.1	FACT complex subunit SPT16 [Homo sapiens]	Pf00557, Pf08512, Pf08644, Pf14826	11198	SUPT16H	14
5UGH_A	Chain A, Crystal Structure Of Mat2a Bound To The Allosteric Inhibitor Pf- 02929366				
AAF67653.1	uncharacterized hypothalamus protein HTMP [Homo sapiens]	Pf01169	55858	TMEM165	4
AAC19161.1	unknown [Homo sapiens]	Pf00011, Pf00525	1410	CRYAB	11
BAF82305.1	unnamed protein product [Homo sapiens]	Pf00097, Pf12678, Pf12861, Pf13639, Pf13920, Pf13923, Pf14369, Pf14634	55658	RNF126	19
NP_056972.1	protein Hook homolog 1 [Homo sapiens]	Pf04156, Pf05622	51361	HOOK1	1
5N7R_A	Chain A, First X-ray structure of full-length human RuvB-Like 2.				
BAG60953.1	unnamed protein product [Homo sapiens]	Pf00400	9410	SNRNP40	1
NP_004642.2	ubiquitin carboxyl-terminal hydrolase 11 [Homo sapiens]	Pf00443, Pf06337, Pf13423, Pf14533, Pf14836	8237	USP11	X
EAW99545.1	potassium channel modulatory factor 1, isoform CRA_b [Homo sapiens]	Pf00569, Pf05605, Pf14571	56888	KCMF1	2
BAD38646.1	putative protein product of HMFT1638, partial [Homo sapiens]	Pf02311, Pf03079, Pf07883	55256	ADI1	2
NP_064579.3	mitochondrial fission factor isoform a [Homo sapiens]	Pf05644	56947	MFF	2
4D10_B	Chain B, Crystal Structure Of The Cop9 Signalosome				
EAX02648.1	doublecortex; lissencephaly, X-linked (doublecortin), isoform CRA_e [Homo sapiens]	Pf03607	1641	DCX	X
NP_078772.1	interferon regulatory factor 2-binding protein-like [Homo sapiens]	Pf11261	64207	IRF2BPL	14
XP_011539376.1	kazrin isoform X1 [Homo sapiens]	Pf00536, Pf00769, Pf02463, Pf02841, Pf04111, Pf04156, Pf04849, Pf05557, Pf07200, Pf07647, Pf07888, Pf07926, Pf08614, Pf10174, Pf10473, Pf12128, Pf12718, Pf13166, Pf13514, Pf13863, Pf13868, Pf14073, Pf15066, Pf15070, Pf15619	23254	KAZN	1
NP_001139014.1	zinc finger and SCAN domain-containing protein 18 isoform 1 [Homo sapiens]	Pf00096, Pf02023	65982	ZSCAN18	19
XP_011513391.1	insulin-like growth factor 2 mRNA-binding protein 3 isoform X1 [Homo sapiens]	Pf00013, Pf00076, Pf13014, Pf13893, Pf14259, Pf14611	10643	IGF2BP3	7
NP_001304040.1	MOB kinase activator 1A isoform 3 [Homo sapiens]	Pf03637	55233	MOB1A	2
BAH12223.1	unnamed protein product [Homo sapiens]	Pf00056, Pf02866	4190	MDH1	2
AAN77123.1	splicing factor 4 [Homo sapiens]	Pf01585, Pf01805, Pf12656	57794	SUGP1	19
NP_079428.2	iron-sulfur protein NUBPL isoform 1 precursor [Homo sapiens]	Pf01656, Pf10609	80224	NUBPL	14
5JCP_B	Chain B, Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3,Linker,Transforming protein RhoA				
BAD93059.1	ADP,ATP carrier protein, liver isoform T2 variant, partial [Homo sapiens]	Pf00153	293	SLC25A6	X|Y
BAD96555.1	asparaginyl-tRNA synthetase variant, partial [Homo sapiens]	Pf00152, Pf01336	4677	NARS	18
2MXC_A	Chain A, Solution structure of the full length sorting nexin 3				
NP_004043.3	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 [Homo sapiens]	Pf06553	664	BNIP3	10
EAW96535.1	inositol 1,4,5-triphosphate receptor, type 2, isoform CRA_b [Homo sapiens]	Pf01365, Pf02815, Pf08454, Pf08709, Pf12670	3709	ITPR2	12
NP_002892.1	reticulocalbin-1 precursor [Homo sapiens]	Pf13499	5954	RCN1	11
NP_001291744.1	protein capicua homolog isoform CIC-L [Homo sapiens]	Pf00505, Pf09011	23152	CIC	19
AAH01052.1	RecQ protein-like (DNA helicase Q1-like) [Homo sapiens]	Pf00270, Pf00271, Pf04851, Pf09382	5965	RECQL	12
AAF62370.1	heterochromatin-like protein 1 [Homo sapiens]	Pf00385, Pf01393	11335	CBX3	7
XP_024309848.1	la-related protein 7 isoform X1 [Homo sapiens]				
NP_003749.2	eukaryotic translation initiation factor 3 subunit J isoform 1 [Homo sapiens]	Pf08597	8669	EIF3J	15
BAG37888.1	unnamed protein product [Homo sapiens]	Pf00261, Pf12718	7170	TPM3	1
CAB99248.1	Nogo-A protein [Homo sapiens]	Pf02453	57142	RTN4	2
EAW97992.1	endoplasmic reticulum protein 29, isoform CRA_b, partial [Homo sapiens]	Pf00085, Pf07749, Pf07912	10961	ERP29	12
XP_005259654.1	polypyrimidine tract-binding protein 1 isoform X1 [Homo sapiens]	Pf00076, Pf13893, Pf14259	5725	PTBP1	19
